# f/f0                      Re(j_E_dir)                 Im(j_E_dir)                 Re(j_ortho)                 Im(j_ortho)                 I_E_dir                     I_ortho                    
-1.990900454251618044e+02   +4.575863642709040188e-13   -3.006008002175329600e-13   -1.186784837089048486e-13   +6.415839527890545474e-13   +5.627786427929158589e-34   +7.992865953627794213e-34
-1.990700464251191022e+02   +4.220402170274174397e-13   -3.186131793127159556e-13   -1.852759159133931926e-13   +6.515629647076462982e-13   +5.249091197014614021e-34   +8.613474325107238118e-34
-1.990500474250764000e+02   +3.868107632667498087e-13   -3.372164096289058741e-13   -2.517410224774589347e-13   +6.566922222677183059e-13   +4.942221195320868350e-34   +9.282813433479592432e-34
-1.990300484250336979e+02   +3.520909337717611216e-13   -3.563860716700388547e-13   -3.174529076616319172e-13   +6.571017829275882340e-13   +4.709336519477012090e-34   +9.992865736277665946e-34
-1.990100494249909673e+02   +3.181088524571671082e-13   -3.761413769298145772e-13   -3.817898095786717415e-13   +6.529653321916796198e-13   +4.552616104939445610e-34   +1.073315847497104380e-33
-1.989900504249482651e+02   +2.851393364434292950e-13   -3.964989217247797906e-13   -4.441368434947003867e-13   +6.444963925349795899e-13   +4.473679698459131854e-34   +1.149074403859312048e-33
-1.989700514249055630e+02   +2.534412435647945835e-13   -4.175001577304038675e-13   -5.038940072401807093e-13   +6.319444431266245651e-13   +4.473211998911427559e-34   +1.225034713857807118e-33
-1.989500524248628608e+02   +2.233165485506191484e-13   -4.391788475542880432e-13   -5.604842311401041986e-13   +6.155910534308287333e-13   +4.551235726308068834e-34   +1.299468553111759576e-33
-1.989300534248201586e+02   +1.950622863511928312e-13   -4.615662727385295963e-13   -6.133612500347477838e-13   +5.957461069831020808e-13   +4.706736252763429843e-34   +1.370495588702029802e-33
-1.989100544247774565e+02   +1.689915182588445104e-13   -4.846962070667004763e-13   -6.620170840920901683e-13   +5.727441635351980793e-13   +4.938103150710670232e-34   +1.436146209845283450e-33
-1.988900554247347259e+02   +1.454050119980907019e-13   -5.085727241801348475e-13   -7.059889369108906882e-13   +5.469409813040490141e-13   +5.242536446625266860e-34   +1.494435130796990722e-33
-1.988700564246920237e+02   +1.245949186200084347e-13   -5.331866262549150242e-13   -7.448653514554909079e-13   +5.187101987424927419e-13   +5.616587949162790371e-34   +1.543441435839251287e-33
-1.988500574246493215e+02   +1.068370163785427528e-13   -5.584960229587199146e-13   -7.782915033849192609e-13   +4.884401588119590768e-13   +6.055988115221804647e-34   +1.581390281473041443e-33
-1.988300584246066194e+02   +9.237080632662127731e-14   -5.844225120628259426e-13   -8.059735535949332807e-13   +4.565308490134736855e-13   +6.555696703963601739e-34   +1.606731430206468103e-33
-1.988100594245639172e+02   +8.139691390295749874e-14   -6.108515203092138821e-13   -8.276820235058288042e-13   +4.233909272181108691e-13   +7.110115133955389407e-34   +1.618210126306429547e-33
-1.987900604245211866e+02   +7.407075774462740702e-14   -6.376185681425314072e-13   -8.432541944189305854e-13   +3.894348055616229452e-13   +7.712901418982456749e-34   +1.614926463729850150e-33
-1.987700614244784845e+02   +7.050371198802623058e-14   -6.645204261228829623e-13   -8.525955634593262346e-13   +3.550797705612506952e-13   +8.357279500502050635e-34   +1.596380247070328542e-33
